Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,RowID,case_location,data_as_of,data_loaded_at,Analysis Neighborhoods
182441493,91,18102653,Medical Incident,09/01/2018,09/01/2018,09/01/2018 12:00:05 PM,09/01/2018 12:01:02 PM,09/01/2018 12:01:21 PM,09/01/2018 12:01:26 PM,,,,Code 2 Transport,09/01/2018 12:01:37 PM,MAYNARD ST/CASTLE MANOR AVE/MISSION ST,San Francisco,94112.0,B09,32,6113,3,3,3,True,Potentially Life-Threatening,1,MEDIC,3.0,9.0,11.0,Excelsior,182441493-91,POINT (-122.43081 37.72923),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,28.0
211112152,E09,21047946,Medical Incident,04/21/2021,04/21/2021,04/21/2021 04:28:29 PM,04/21/2021 04:28:29 PM,04/21/2021 04:29:03 PM,04/21/2021 04:30:12 PM,04/21/2021 04:36:18 PM,,,No Merit,04/21/2021 04:36:35 PM,BOUTWELL ST/INDUSTRIAL ST/LOOMIS ST,San Francisco,94124.0,B10,42.0,6374.0,A,3,3,True,Potentially Life-Threatening,1,ENGINE,2.0,10.0,10.0,Bayview Hunters Point,211112152-E09,POINT (-122.40565 37.738323),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1.0
232291411,87,23109640,Medical Incident,08/17/2023,08/17/2023,08/17/2023 11:45:09 AM,08/17/2023 11:45:36 AM,08/17/2023 11:45:53 AM,08/17/2023 11:48:43 AM,08/17/2023 11:59:10 AM,08/17/2023 12:16:56 PM,08/17/2023 12:30:57 PM,Code 2 Transport,08/17/2023 01:30:25 PM,GENEVA AVE/VIENNA ST,San Francisco,94112.0,B09,43.0,6173.0,3,3,3,True,Potentially Life-Threatening,1,MEDIC,2.0,9.0,11.0,Excelsior,232291411-87,POINT (-122.43536 37.713844),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,7.0
220632586,88,22029312,Medical Incident,03/04/2022,03/04/2022,03/04/2022 05:32:27 PM,03/04/2022 05:33:31 PM,03/04/2022 05:34:04 PM,03/04/2022 05:35:20 PM,03/04/2022 05:38:34 PM,03/04/2022 06:16:26 PM,03/04/2022 06:47:02 PM,Code 2 Transport,03/04/2022 07:30:46 PM,FOREST VIEW DR/EUCALYPTUS DR,San Francisco,94132.0,B08,19,8743,3,3,3,True,Potentially Life-Threatening,1,MEDIC,1.0,8.0,7.0,Lakeshore,220632586-88,POINT (-122.48354 37.73108),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,16.0
241190471,E41,24059085,Alarms,04/28/2024,04/27/2024,04/28/2024 05:24:35 AM,04/28/2024 05:26:58 AM,04/28/2024 05:27:30 AM,04/28/2024 05:29:36 AM,04/28/2024 05:33:08 AM,,,Fire,04/28/2024 05:38:42 AM,EDDY ST/LEAVENWORTH ST,San Francisco,94102.0,B02,3,1545,3,3,3,True,Alarm,1,ENGINE,1.0,2.0,5.0,Tenderloin,241190471-E41,POINT (-122.414241573 37.783723783),04/29/2024 03:30:00 AM,04/29/2024 04:13:53 AM,36.0
200382692,T12,20016457,Fuel Spill,02/07/2020,02/07/2020,02/07/2020 04:26:53 PM,02/07/2020 04:29:24 PM,02/07/2020 04:29:38 PM,02/07/2020 04:30:43 PM,02/07/2020 04:33:53 PM,,,Fire,02/07/2020 04:35:00 PM,LINCOLN WAY/07TH AVE,San Francisco,94122.0,B08,22.0,7332.0,3,3,3,False,Alarm,1,TRUCK,1.0,7.0,5.0,Inner Sunset,200382692-T12,POINT (-122.464294 37.765965),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,12.0
91860303,E38,9055323,Alarms,07/05/2009,07/05/2009,07/05/2009 11:21:42 PM,07/05/2009 11:22:50 PM,07/05/2009 11:23:01 PM,07/05/2009 11:24:14 PM,07/05/2009 11:26:22 PM,,,Other,07/05/2009 11:32:50 PM,SUTTER ST/OCTAVIA ST,SF,94109.0,B04,38.0,3324.0,3,3,3,False,,1,ENGINE,1.0,4.0,5.0,Japantown,091860303-E38,POINT (-122.42667 37.786926),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,30.0
141480860,RC2,14050752,Medical Incident,05/28/2014,05/28/2014,05/28/2014 09:05:25 AM,05/28/2014 09:05:25 AM,05/28/2014 09:05:51 AM,05/28/2014 09:06:15 AM,,,,SFPD,05/28/2014 09:10:47 AM,KIRKHAM ST/37TH AVE,San Francisco,94122.0,B08,23.0,7571.0,A,E,3,True,Potentially Life-Threatening,1,RESCUE CAPTAIN,3.0,8.0,4.0,Sunset/Parkside,141480860-RC2,POINT (-122.496155 37.75898),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,35.0
241991072,SCRT10,24097871,Medical Incident,07/17/2024,07/17/2024,07/17/2024 10:46:25 AM,07/17/2024 10:48:42 AM,07/17/2024 10:48:59 AM,07/17/2024 10:49:04 AM,07/17/2024 11:10:51 AM,,,Other,07/17/2024 11:34:11 AM,03RD ST/CARROLL AVE,San Francisco,94124.0,B10,17.0,6530.0,2,2,2,False,Potentially Life-Threatening,1,CP,1.0,10.0,10.0,Bayview Hunters Point,241991072-SCRT10,POINT (-122.394243493 37.72547565),07/18/2024 03:26:26 AM,07/25/2024 04:09:47 AM,1.0
41100114,M03,4031231,Medical Incident,04/19/2004,04/19/2004,04/19/2004 09:36:36 AM,04/19/2004 09:40:21 AM,04/19/2004 09:40:42 AM,04/19/2004 09:42:50 AM,04/19/2004 09:44:25 AM,04/19/2004 09:57:07 AM,04/19/2004 10:16:13 AM,Other,04/19/2004 10:56:48 AM,POST ST/BUCHANAN ST,SF,94115.0,B04,38,3364,3,3,3,True,,1,MEDIC,1.0,4.0,5.0,Japantown,041100114-M03,POINT (-122.42978 37.785564),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,15.0
