Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Supervisor District,neighborhood_district,data_as_of,data_loaded_at
22077209,0,220772090,DODGE STREET,2022/06/17,221680293,2022/06/17 02:59:32 AM,2022/06/17 03:05:19 AM,2022/06/17 03:05:56 AM,San Francisco,94102,B02,03,1554,1,4,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,87 Investigate fire out on arrival,,,5,Tenderloin,2022/06/17 03:05:56 AM,2024/11/17 02:16:16 AM
22077219,0,220772190,8TH STREET,2022/06/17,221680374,2022/06/17 04:24:58 AM,2022/06/17 04:30:53 AM,2022/06/17 04:34:48 AM,San Francisco,94103,B03,29,2324,1,4,0,0,0,0,1,324 Motor vehicle accident with no injuries.,N None,31 Provide first aid & check for injuries,,,6,South of Market,2022/06/17 04:34:48 AM,2024/11/17 02:16:16 AM
22077224,0,220772240,THE EMBARCADERO SOU,2022/06/17,221680396,2022/06/17 04:52:37 AM,2022/06/17 04:58:39 AM,2022/06/17 05:01:41 AM,San Francisco,94105,B03,35,2131,1,4,0,0,0,0,1,531 Smoke or odor removal,N None,86 Investigate,,,6,Financial District/South Beach,2022/06/17 05:01:41 AM,2024/11/17 02:16:16 AM
22077228,0,220772280,121 7TH STREET,2022/06/17,221680413,2022/06/17 05:14:59 AM,2022/06/17 05:22:38 AM,2022/06/17 05:22:42 AM,San Francisco,94103,B02,01,2315,1,5,0,0,0,0,1,"600 Good intent call, other",N None,"00 Action taken, other",,,6,South of Market,2022/06/17 05:22:42 AM,2024/11/17 02:16:16 AM
15030507,0,150305070,WEBSTER ST/LOMBARD STREET,2015/03/21,150800248,2015/03/21 01:34:30 AM,2015/03/21 01:38:11 AM,2015/03/21 01:38:55 AM,San Francisco,94123,B04,16,3461,2,9,0,0,0,0,1,"700 False alarm or false call, other",N None,86 Investigate,,,2,Marina,2015/03/21 01:38:55 AM,2024/11/17 02:16:16 AM
22077234,0,220772340,54 MCALLISTER STREET,2022/06/17,221680442,2022/06/17 05:42:02 AM,2022/06/17 05:43:30 AM,2022/06/17 06:01:20 AM,San Francisco,94102,B03,36,1455,8,29,0,0,0,0,1,"150 Outside rubbish fire, other",N None,86 Investigate,45 Remove hazard,,5,Tenderloin,2022/06/17 06:01:20 AM,2024/11/17 02:16:16 AM
22077236,0,220772360,180 12TH STREET,2022/06/17,221680454,2022/06/17 05:54:11 AM,2022/06/17 05:58:59 AM,2022/06/17 06:02:47 AM,San Francisco,94103,B02,36,5116,3,10,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,86 Investigate,,,6,Mission,2022/06/17 06:02:47 AM,2024/11/17 02:16:16 AM
22077237,0,220772370,DELANCEY STREET,2022/06/17,221680456,2022/06/17 05:55:36 AM,2022/06/17 06:05:36 AM,2022/06/17 06:05:41 AM,San Francisco,94107,B03,35,2134,1,4,0,0,0,0,1,"500 Service Call, other",N None,86 Investigate,,,6,Financial District/South Beach,2022/06/17 06:05:41 AM,2024/11/17 02:16:16 AM
22077238,0,220772380,833 BRYANT STREET,2022/06/17,221680471,2022/06/17 06:08:09 AM,2022/06/17 06:13:42 AM,2022/06/17 06:26:49 AM,San Francisco,94103,B03,08,2255,3,10,0,0,0,0,1,"745 Alarm system activation, no fire - unintentional",N None,86 Investigate,,,6,South of Market,2022/06/17 06:26:49 AM,2024/11/17 02:16:16 AM
22077241,0,220772410,DELANCEY STREET,2022/06/17,221680495,2022/06/17 06:25:59 AM,2022/06/17 06:29:43 AM,2022/06/17 07:28:03 AM,San Francisco,94107,B03,35,2134,4,14,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,11 Extinguishment by fire service personnel,,,6,Financial District/South Beach,2022/06/17 07:28:03 AM,2024/11/17 02:16:16 AM
